sku,title,tags[],specs.weightKg,specs.dimsJson,notes
WIDGET-193,Sample widget 193,"[""audio"", ""popular""]",3.40,"{""w"": 4.1, ""h"": 4.5, ""d"": 3.2}",Batch 8
WIDGET-194,Sample widget 194,"[""office"", ""clearance""]",3.50,"{""w"": 5.1, ""h"": 5.5, ""d"": 4.2}",Batch 8
WIDGET-195,Sample widget 195,"[""usb"", ""bundle""]",3.60,"{""w"": 6.1, ""h"": 6.5, ""d"": 0.2}",Batch 8
WIDGET-196,Sample widget 196,"[""hardware"", ""new""]",3.70,"{""w"": 7.1, ""h"": 0.5, ""d"": 1.2}",Batch 8
WIDGET-197,Sample widget 197,"[""audio"", ""popular""]",3.80,"{""w"": 8.1, ""h"": 1.5, ""d"": 2.2}",Batch 8
WIDGET-198,Sample widget 198,"[""office"", ""clearance""]",3.90,"{""w"": 0.1, ""h"": 2.5, ""d"": 3.2}",Batch 8
WIDGET-199,Sample widget 199,"[""usb"", ""bundle""]",4.00,"{""w"": 1.1, ""h"": 3.5, ""d"": 4.2}",Batch 8
WIDGET-200,Sample widget 200,"[""hardware"", ""new""]",0.10,"{""w"": 2.1, ""h"": 4.5, ""d"": 0.2}",Batch 9
WIDGET-201,Sample widget 201,"[""audio"", ""popular""]",0.20,"{""w"": 3.1, ""h"": 5.5, ""d"": 1.2}",Batch 9
WIDGET-202,Sample widget 202,"[""office"", ""clearance""]",0.30,"{""w"": 4.1, ""h"": 6.5, ""d"": 2.2}",Batch 9
WIDGET-203,Sample widget 203,"[""usb"", ""bundle""]",0.40,"{""w"": 5.1, ""h"": 0.5, ""d"": 3.2}",Batch 9
WIDGET-204,Sample widget 204,"[""hardware"", ""new""]",0.50,"{""w"": 6.1, ""h"": 1.5, ""d"": 4.2}",Batch 9
WIDGET-205,Sample widget 205,"[""audio"", ""popular""]",0.60,"{""w"": 7.1, ""h"": 2.5, ""d"": 0.2}",Batch 9
WIDGET-206,Sample widget 206,"[""office"", ""clearance""]",0.70,"{""w"": 8.1, ""h"": 3.5, ""d"": 1.2}",Batch 9
WIDGET-207,Sample widget 207,"[""usb"", ""bundle""]",0.80,"{""w"": 0.1, ""h"": 4.5, ""d"": 2.2}",Batch 9
WIDGET-208,Sample widget 208,"[""hardware"", ""new""]",0.90,"{""w"": 1.1, ""h"": 5.5, ""d"": 3.2}",Batch 9
WIDGET-209,Sample widget 209,"[""audio"", ""popular""]",1.00,"{""w"": 2.1, ""h"": 6.5, ""d"": 4.2}",Batch 9
WIDGET-210,Sample widget 210,"[""office"", ""clearance""]",1.10,"{""w"": 3.1, ""h"": 0.5, ""d"": 0.2}",Batch 9
WIDGET-211,Sample widget 211,"[""usb"", ""bundle""]",1.20,"{""w"": 4.1, ""h"": 1.5, ""d"": 1.2}",Batch 9
WIDGET-212,Sample widget 212,"[""hardware"", ""new""]",1.30,"{""w"": 5.1, ""h"": 2.5, ""d"": 2.2}",Batch 9
WIDGET-213,Sample widget 213,"[""audio"", ""popular""]",1.40,"{""w"": 6.1, ""h"": 3.5, ""d"": 3.2}",Batch 9
WIDGET-214,Sample widget 214,"[""office"", ""clearance""]",1.50,"{""w"": 7.1, ""h"": 4.5, ""d"": 4.2}",Batch 9
WIDGET-215,Sample widget 215,"[""usb"", ""bundle""]",1.60,"{""w"": 8.1, ""h"": 5.5, ""d"": 0.2}",Batch 9
WIDGET-216,Sample widget 216,"[""hardware"", ""new""]",1.70,"{""w"": 0.1, ""h"": 6.5, ""d"": 1.2}",Batch 9
WIDGET-217,Sample widget 217,"[""audio"", ""popular""]",1.80,"{""w"": 1.1, ""h"": 0.5, ""d"": 2.2}",Batch 9
WIDGET-218,Sample widget 218,"[""office"", ""clearance""]",1.90,"{""w"": 2.1, ""h"": 1.5, ""d"": 3.2}",Batch 9
WIDGET-219,Sample widget 219,"[""usb"", ""bundle""]",2.00,"{""w"": 3.1, ""h"": 2.5, ""d"": 4.2}",Batch 9
WIDGET-220,Sample widget 220,"[""hardware"", ""new""]",2.10,"{""w"": 4.1, ""h"": 3.5, ""d"": 0.2}",Batch 9
WIDGET-221,Sample widget 221,"[""audio"", ""popular""]",2.20,"{""w"": 5.1, ""h"": 4.5, ""d"": 1.2}",Batch 9
WIDGET-222,Sample widget 222,"[""office"", ""clearance""]",2.30,"{""w"": 6.1, ""h"": 5.5, ""d"": 2.2}",Batch 9
WIDGET-223,Sample widget 223,"[""usb"", ""bundle""]",2.40,"{""w"": 7.1, ""h"": 6.5, ""d"": 3.2}",Batch 9
WIDGET-224,Sample widget 224,"[""hardware"", ""new""]",2.50,"{""w"": 8.1, ""h"": 0.5, ""d"": 4.2}",Batch 9
WIDGET-225,Sample widget 225,"[""audio"", ""popular""]",2.60,"{""w"": 0.1, ""h"": 1.5, ""d"": 0.2}",Batch 10
WIDGET-226,Sample widget 226,"[""office"", ""clearance""]",2.70,"{""w"": 1.1, ""h"": 2.5, ""d"": 1.2}",Batch 10
WIDGET-227,Sample widget 227,"[""usb"", ""bundle""]",2.80,"{""w"": 2.1, ""h"": 3.5, ""d"": 2.2}",Batch 10
WIDGET-228,Sample widget 228,"[""hardware"", ""new""]",2.90,"{""w"": 3.1, ""h"": 4.5, ""d"": 3.2}",Batch 10
WIDGET-229,Sample widget 229,"[""audio"", ""popular""]",3.00,"{""w"": 4.1, ""h"": 5.5, ""d"": 4.2}",Batch 10
WIDGET-230,Sample widget 230,"[""office"", ""clearance""]",3.10,"{""w"": 5.1, ""h"": 6.5, ""d"": 0.2}",Batch 10
WIDGET-231,Sample widget 231,"[""usb"", ""bundle""]",3.20,"{""w"": 6.1, ""h"": 0.5, ""d"": 1.2}",Batch 10
WIDGET-232,Sample widget 232,"[""hardware"", ""new""]",3.30,"{""w"": 7.1, ""h"": 1.5, ""d"": 2.2}",Batch 10
WIDGET-233,Sample widget 233,"[""audio"", ""popular""]",3.40,"{""w"": 8.1, ""h"": 2.5, ""d"": 3.2}",Batch 10
WIDGET-234,Sample widget 234,"[""office"", ""clearance""]",3.50,"{""w"": 0.1, ""h"": 3.5, ""d"": 4.2}",Batch 10
WIDGET-235,Sample widget 235,"[""usb"", ""bundle""]",3.60,"{""w"": 1.1, ""h"": 4.5, ""d"": 0.2}",Batch 10
WIDGET-236,Sample widget 236,"[""hardware"", ""new""]",3.70,"{""w"": 2.1, ""h"": 5.5, ""d"": 1.2}",Batch 10
WIDGET-237,Sample widget 237,"[""audio"", ""popular""]",3.80,"{""w"": 3.1, ""h"": 6.5, ""d"": 2.2}",Batch 10
WIDGET-238,Sample widget 238,"[""office"", ""clearance""]",3.90,"{""w"": 4.1, ""h"": 0.5, ""d"": 3.2}",Batch 10
WIDGET-239,Sample widget 239,"[""usb"", ""bundle""]",4.00,"{""w"": 5.1, ""h"": 1.5, ""d"": 4.2}",Batch 10
WIDGET-240,Sample widget 240,"[""hardware"", ""new""]",0.10,"{""w"": 6.1, ""h"": 2.5, ""d"": 0.2}",Batch 10
WIDGET-241,Sample widget 241,"[""audio"", ""popular""]",0.20,"{""w"": 7.1, ""h"": 3.5, ""d"": 1.2}",Batch 10
WIDGET-242,Sample widget 242,"[""office"", ""clearance""]",0.30,"{""w"": 8.1, ""h"": 4.5, ""d"": 2.2}",Batch 10
WIDGET-243,Sample widget 243,"[""usb"", ""bundle""]",0.40,"{""w"": 0.1, ""h"": 5.5, ""d"": 3.2}",Batch 10
WIDGET-244,Sample widget 244,"[""hardware"", ""new""]",0.50,"{""w"": 1.1, ""h"": 6.5, ""d"": 4.2}",Batch 10
WIDGET-245,Sample widget 245,"[""audio"", ""popular""]",0.60,"{""w"": 2.1, ""h"": 0.5, ""d"": 0.2}",Batch 10
WIDGET-246,Sample widget 246,"[""office"", ""clearance""]",0.70,"{""w"": 3.1, ""h"": 1.5, ""d"": 1.2}",Batch 10
WIDGET-247,Sample widget 247,"[""usb"", ""bundle""]",0.80,"{""w"": 4.1, ""h"": 2.5, ""d"": 2.2}",Batch 10
WIDGET-248,Sample widget 248,"[""hardware"", ""new""]",0.90,"{""w"": 5.1, ""h"": 3.5, ""d"": 3.2}",Batch 10
WIDGET-249,Sample widget 249,"[""audio"", ""popular""]",1.00,"{""w"": 6.1, ""h"": 4.5, ""d"": 4.2}",Batch 10
WIDGET-250,Sample widget 250,"[""office"", ""clearance""]",1.10,"{""w"": 7.1, ""h"": 5.5, ""d"": 0.2}",Batch 11
