tenantId,eventId,payload.user.id,payload.user.handle,payload.metrics[],meta
t-gamma,evt-0224,u1044,@dev44,"[3.75, 8, 3.0]","{""source"": ""api"", ""version"": ""3.4.0""}"
t-alpha,evt-0225,u1045,@dev45,"[5.0, 0, 3.75]","{""source"": ""mobile"", ""version"": ""1.5.1""}"
t-beta,evt-0226,u1046,@dev46,"[6.25, 1, 4.5]","{""source"": ""web"", ""version"": ""2.6.2""}"
t-gamma,evt-0227,u1047,@dev47,"[7.5, 2, 5.25]","{""source"": ""api"", ""version"": ""3.7.3""}"
t-alpha,evt-0228,u1048,@dev48,"[8.75, 3, 6.0]","{""source"": ""mobile"", ""version"": ""1.8.4""}"
t-beta,evt-0229,u1049,@dev49,"[10.0, 4, 6.75]","{""source"": ""web"", ""version"": ""2.9.5""}"
t-gamma,evt-0230,u1050,@dev50,"[11.25, 5, 7.5]","{""source"": ""api"", ""version"": ""3.0.6""}"
t-alpha,evt-0231,u1051,@dev51,"[12.5, 6, 0.0]","{""source"": ""mobile"", ""version"": ""1.1.0""}"
t-beta,evt-0232,u1052,@dev52,"[13.75, 7, 0.75]","{""source"": ""web"", ""version"": ""2.2.1""}"
t-gamma,evt-0233,u1053,@dev53,"[15.0, 8, 1.5]","{""source"": ""api"", ""version"": ""3.3.2""}"
t-alpha,evt-0234,u1054,@dev54,"[16.25, 0, 2.25]","{""source"": ""mobile"", ""version"": ""1.4.3""}"
t-beta,evt-0235,u1055,@dev55,"[17.5, 1, 3.0]","{""source"": ""web"", ""version"": ""2.5.4""}"
t-gamma,evt-0236,u1056,@dev56,"[18.75, 2, 3.75]","{""source"": ""api"", ""version"": ""3.6.5""}"
t-alpha,evt-0237,u1057,@dev57,"[20.0, 3, 4.5]","{""source"": ""mobile"", ""version"": ""1.7.6""}"
t-beta,evt-0238,u1058,@dev58,"[0.0, 4, 5.25]","{""source"": ""web"", ""version"": ""2.8.0""}"
t-gamma,evt-0239,u1059,@dev59,"[1.25, 5, 6.0]","{""source"": ""api"", ""version"": ""3.9.1""}"
t-alpha,evt-0240,u1000,@dev00,"[2.5, 6, 6.75]","{""source"": ""mobile"", ""version"": ""1.0.2""}"
t-beta,evt-0241,u1001,@dev01,"[3.75, 7, 7.5]","{""source"": ""web"", ""version"": ""2.1.3""}"
t-gamma,evt-0242,u1002,@dev02,"[5.0, 8, 0.0]","{""source"": ""api"", ""version"": ""3.2.4""}"
t-alpha,evt-0243,u1003,@dev03,"[6.25, 0, 0.75]","{""source"": ""mobile"", ""version"": ""1.3.5""}"
t-beta,evt-0244,u1004,@dev04,"[7.5, 1, 1.5]","{""source"": ""web"", ""version"": ""2.4.6""}"
t-gamma,evt-0245,u1005,@dev05,"[8.75, 2, 2.25]","{""source"": ""api"", ""version"": ""3.5.0""}"
t-alpha,evt-0246,u1006,@dev06,"[10.0, 3, 3.0]","{""source"": ""mobile"", ""version"": ""1.6.1""}"
t-beta,evt-0247,u1007,@dev07,"[11.25, 4, 3.75]","{""source"": ""web"", ""version"": ""2.7.2""}"
t-gamma,evt-0248,u1008,@dev08,"[12.5, 5, 4.5]","{""source"": ""api"", ""version"": ""3.8.3""}"
t-alpha,evt-0249,u1009,@dev09,"[13.75, 6, 5.25]","{""source"": ""mobile"", ""version"": ""1.9.4""}"
t-beta,evt-0250,u1010,@dev10,"[15.0, 7, 6.0]","{""source"": ""web"", ""version"": ""2.0.5""}"
